"Parcelle","ordre_extraction","ordre_BMM","Projet","BMM µg/g_sol_E1","BMM µg/g_sol_E2","Moy E1_E2","N° Laboratoire","N° FR","Argile (déc) (o/oo) g/kg","Limon Fin (déc) (o/oo) g/kg","Limon Grossier (déc) (o/oo) g/kg","Sable Fin (déc) (o/oo) g/kg","Sable Grossier (déc) (o/oo) g/kg","pH eau -","Carbonates totaux g/kg","Carb. organique (o/oo) g/kg","Matière organique (o/oo) g/kg","Azote total (o/oo) g/kg","C/N -","P2O5 Olsen (o/oo) g/kg","Cu DTPA mg/kg","Zn DTPA mg/kg","Ni DTPA mg/kg","Cu total ER (mg/Kg)","Ni total ER (mg/Kg)","Pb total ER (mg/Kg)","Zn total ER (mg/Kg)","Ecole","Age","Habitat","Nb arbres","Occ_Nat","Occ_Ag","Occ_Ugs","Occ_eq","Occ_Tud","Occ_Tuc","P_Nat","P_Ag","P_Ugs","P_eq","P_Tud","P_Tuc","SHI","Temps","Ganivelles","Emplacement","Enfantsparm2","Surface","Argile","Limon","Sable","MO","N_Tot","Cu","Ni","Pb","Zn"
"CpPl_45Pri",20,68,"ECOLE",45.7282484747974,55.3764627162171,50.5523555955073,"T-02508-24","WW 847969",392,153,129,219,107,8.5,341,28.5,49.4,2.2,13.1,0.095,17.3,13.1,0.31,74.8,21.8,56,88.4,"Petit Prince",2023,"EvEx",3,0.315,0,0.051,0.149,0.364,0.121,4,0,3,5,2,1,1.42172746674453,1,1,1,9.2,55.67,392,282,326,49.4,2.2,74.8,21.8,56,88.4
"CpPl_47Pri",32,47,"ECOLE",29.538058340256,32.917774608709,31.2279164744825,"T-02510-24","WW 847973",447,157,111,146,139,8.4,475,43.4,75.1,2.3,18.9,0.11,8.3,12.4,0.56,38.9,22,26.9,53.7,"Petit Prince",2023,"CpPl",1,0.315,0,0.051,0.149,0.364,0.121,4,0,3,5,2,1,1.42172746674453,1,1,1,9.2,34.8,447,268,285,75.1,2.3,38.9,22,26.9,53.7
"CpPl_48Pri",70,76,"ECOLE",33.7677127196673,34.0257676574693,33.8967401885683,"T-02511-24","WW 847975",449,154,107,144,146,8.5,488,37.2,64.3,2.3,16.3,0.12,7.2,11.6,0.53,37.8,19.5,25.6,62.7,"Petit Prince",2023,"CpPl",1,0.315,0,0.051,0.149,0.364,0.121,4,0,3,5,2,1,1.42172746674453,1,1,1,9.2,31.21,449,261,290,64.3,2.3,37.8,19.5,25.6,62.7
"CpPl_49San",15,36,"ECOLE",44.3717295410923,36.1535762231342,40.2626528821133,"T-02512-24","WW 847977",315,147,137,236,165,8.6,231,21.6,37.4,1.8,12.1,0.054,12.6,5.4,0.3,64.2,24.9,38.2,65.9,"George Sand",2023,"CpUt",1,0.263,0,0.05,0.174,0.395,0.118,3,0,3,4,2,1,1.42479978613237,1,0,1,10.6,20.39,315,284,401,37.4,1.8,64.2,24.9,38.2,65.9
"CpPl_50EnsE",54,60,"ECOLE",25.2571569227211,24.050257627392,24.6537072750565,"T-02513-24","WW 847979",330,179,153,158,180,8.4,273,33.4,57.7,2.4,14.1,0.17,24.5,6.7,0.58,77.9,19,27.4,58,"Ensoleihat",2023,"CpPl",3,0.119,0.352,0.023,0.05,0.414,0.042,6,5,5,3,4,1,1.35618191205366,1,1,1,4,26.8,330,332,338,57.7,2.4,77.9,19,27.4,58
"CpPl_51EnsE",40,21,"ECOLE",22.8360640592609,22.8268327393337,22.8314483992973,"T-02514-24","WW 847981",297,144,149,212,198,8.6,256,15.3,26.4,1,14.5,0.046,12.8,3.2,0.26,44.8,18.6,29.3,43,"Ensoleihat",2023,"CpPl",2,0.119,0.352,0.023,0.05,0.414,0.042,6,5,5,3,4,1,1.35618191205366,1,1,1,4,15.39,297,293,410,26.4,1,44.8,18.6,29.3,43
"CpUt_01Bou",69,79,"ECOLE",25.5522260158648,23.9932738482532,24.772749932059,"T-02423-24","WW 847799",206,118,69.2,142,465,8.3,393,41.9,72.5,1.2,33.7,0.044,6.9,3.7,0.4,30.4,12.6,17.9,40.2,"Boulloche",2021,"CpUt",3,0.12,0.001,0.052,0.382,0.383,0.062,3,1,3,6,6,2,1.32209860776339,3,0,0,11.6,119.8,206,187.2,607,72.5,1.2,30.4,12.6,17.9,40.2
"CpUt_02Bou",62,54,"ECOLE",31.9523798186099,30.4459722191564,31.1991760188832,"T-02424-24","WW 847801",183,123,87.5,145,460,8.4,206,25.8,44.7,1.5,17.8,0.055,13.9,3.6,0.36,61.4,17.6,23.7,49.9,"Boulloche",2021,"CpUt",2,0.12,0.001,0.052,0.382,0.383,0.062,3,1,3,6,6,2,1.32209860776339,3,0,0,11.6,46.3,183,210.5,605,44.7,1.5,61.4,17.6,23.7,49.9
"CpUt_03Bou",78,41,"ECOLE",28.4958091055998,29.4285201106862,28.962164608143,"T-02425-24","WW 847803",153,106,89.2,143,509,8.1,181,20.5,35.5,1.5,14,0.064,17.7,3.3,0.39,66.4,14.6,20.1,42.8,"Boulloche",2021,"CpUt",4,0.12,0.001,0.052,0.382,0.383,0.062,3,1,3,6,6,2,1.32209860776339,3,0,0,11.6,237.6,153,195.2,652,35.5,1.5,66.4,14.6,20.1,42.8
"CpUt_05Bou",3,13,"ECOLE",3.65764606882073,2.76251247893928,3.21007927388,"T-02427-24","WW 847807",488,71.5,59.6,62.4,319,8.6,898,13.4,23.2,0.73,18.4,0.012,0.52,2.1,0.13,4.5,10.1,4.2,33.5,"Boulloche",2021,"CpUt",0,0.12,0.001,0.052,0.382,0.383,0.062,3,1,3,6,6,2,1.32209860776339,3,1,1,11.6,33.6,488,131.1,381.4,23.2,0.73,4.5,10.1,4.2,33.5
"CpUt_09Mer",9,12,"ECOLE",30.3613598033731,35.934999877936,33.1481798406545,"T-02431-24","WW 847815",297,138,122,210,232,7.9,356,30.9,53.4,2.9,10.7,0.19,9.2,12.2,0.67,47.3,16.9,27.2,62.7,"Mermoz",2021,"CpUt",4,0.078,0,0.011,0.257,0.588,0.066,1,0,3,6,8,3,1.09119042803189,3,0,0,19,260.7,297,260,442,53.4,2.9,47.3,16.9,27.2,62.7
"CpUt_10Mer",13,43,"ECOLE",47.4618962606756,46.9611082892811,47.2115022749784,"T-02432-24","WW 847817",128,58.7,83.3,165,565,8.3,244,23.9,41.4,1.7,14.3,0.079,3.2,3.2,0.33,17.7,10.1,16.1,34.7,"Mermoz",2021,"CpUt",1,0.078,0,0.011,0.257,0.588,0.066,1,0,3,6,8,3,1.09119042803189,3,0,1,19,49.1,128,142,730,41.4,1.7,17.7,10.1,16.1,34.7
"CpUt_12Lou",61,63,"ECOLE",51.26,63.1,57.18,"T-02434-24","WW 847821",325,150,151,300,74.2,8.5,238,35.9,62,1.8,20,0.11,13.9,5.2,0.36,54.3,24.1,25.6,59.5,"Lou Planas",2022,"CpUt",2,0.234,0.091,0.009,0.065,0.592,0.009,3,3,4,4,3,2,1.13109457788768,2,0,0,11.7,99,325,301,374.2,62,1.8,54.3,24.1,25.6,59.5
"CpUt_14Lou",67,6,"ECOLE",19.77,18.8286354744586,19.2993177372293,"T-02436-24","WW 847825",361,144,137,228,130,8.5,344,22.9,39.6,1.4,16.2,0.03,10.2,3.1,0.54,39.6,22.1,23.9,48.4,"Lou Planas",2022,"CpUt",0,0.234,0.091,0.009,0.065,0.592,0.009,3,3,4,4,3,2,1.13109457788768,2,0,0,11.7,113.8,361,281,358,39.6,1.4,39.6,22.1,23.9,48.4
"CpUt_15Rob",7,55,"ECOLE",3.36647804576388,3.10786160536858,3.23716982556623,"T-02437-24","WW 847827",438,165,122,165,110,8.7,707,15,25.9,0.86,17.4,0.018,8.8,2.3,0.34,30.7,16.2,12.2,26.4,"Robinson",2022,"CpUt",0,0.234,0.058,0.021,0.062,0.625,0.001,4,3,7,5,3,2,1.05548637764536,2,0,1,16,44,438,287,275,25.9,0.86,30.7,16.2,12.2,26.4
"CpUt_17Rob",45,11,"ECOLE",10.9,12.4268421773418,11.6634210886709,"T-02439-24","WW 847831",314,129,86,178,293,8.6,433,21.4,37,1.2,17.8,0.014,6.9,4,0.44,34.7,41.6,19.5,47.1,"Robinson",2022,"CpUt",0,0.234,0.058,0.021,0.062,0.625,0.001,4,3,7,5,3,2,1.05548637764536,2,0,0,16,50.5,314,129,471,37,1.2,34.7,41.6,19.5,47.1
"CpUt_18Rob",73,30,"ECOLE",0,0,0,"T-02440-24","WW 847833",378,130,121,188,183,8.7,730,12.1,21,0.97,12.6,0.028,5,2.5,0.35,14.2,9.9,7.8,21.4,"Robinson",2022,"CpUt",0,0.234,0.058,0.021,0.062,0.625,0.001,4,3,7,5,3,2,1.05548637764536,2,0,0,16,51.7,378,251,371,21,0.97,14.2,9.9,7.8,21.4
"CpUt_22Cab",80,71,"ECOLE",3.71929964241744,3.28122964818297,3.5002646453002,"T-02444-24","WW 847841",439,115,106,146,194,8.4,217,11.9,20.6,0.88,13.5,0.011,4.8,1,0.37,25.7,34.4,21.3,56.6,"Cabrol",2022,"CpUt",2,0.134,0.114,0.024,0.025,0.703,0,4,1,4,1,1,0,0.947401289381069,2,0,0,9.5,73.7,439,121,240,20.6,0.88,25.7,34.4,21.3,56.6
"CpUt_25Dau",71,19,"ECOLE",0.65,2.21754151240343,1.43377075620172,"T-02445-24","WW 847843",255,172,191,327,55.5,8.4,397,9,15.6,0.67,13.4,0.006,1.3,1.7,0.23,9.9,17.7,11.4,30.6,"Julie Daubie",2022,"CpUt",5,0.079,0.257,0.018,0.051,0.5,0.1,5,5,6,5,5,2,1.34850473733744,2,0,1,41.9,183.5,255,363,382.5,15.6,0.67,9.9,17.7,11.4,30.6
"CpUt_26Dau",24,18,"ECOLE",0.85,1.72501939872704,1.28750969936352,"T-02446-24","WW 847845",250,189,207,274,80.1,8.4,344,10.5,18.2,0.81,13,0.014,9.8,1.4,0.48,32,19.3,23.6,37.7,"Julie Daubie",2022,"CpUt",3,0.079,0.257,0.018,0.051,0.5,0.1,5,5,6,5,5,2,1.34850473733744,2,0,0,41.9,244.6,250,396,354.1,18.2,0.81,32,19.3,23.6,37.7
